"batch","fromId","toId","value"
"0","1","2","0.5"
"0","1","3","0.5"
"0","1","4","0.5"
"0","1","5","0.5"
"0","1","6","0.5"
"0","1","7","0.5"
"0","1","8","0.5"
"0","2","1","0.5"
"0","2","3","0.5"
"0","2","4","0.5"
"0","2","5","0.5"
"0","2","6","0.5"
"0","2","7","0.5"
"0","2","8","0.5"
"0","3","1","0.5"
"0","3","2","0.5"
"0","3","4","0.5"
"0","3","5","0.5"
"0","3","6","0.5"
"0","3","7","0.5"
"0","3","8","0.5"
"0","4","1","0.5"
"0","4","2","0.5"
"0","4","3","0.5"
"0","4","5","0.5"
"0","4","6","0.5"
"0","4","7","0.5"
"0","4","8","0.5"
"0","5","1","0.5"
"0","5","2","0.5"
"0","5","3","0.5"
"0","5","4","0.5"
"0","5","6","0.5"
"0","5","7","0.5"
"0","5","8","0.5"
"0","6","1","0.5"
"0","6","2","0.5"
"0","6","3","0.5"
"0","6","4","0.5"
"0","6","5","0.5"
"0","6","7","0.5"
"0","6","8","0.5"
"0","7","1","0.5"
"0","7","2","0.5"
"0","7","3","0.5"
"0","7","4","0.5"
"0","7","5","0.5"
"0","7","6","0.5"
"0","7","8","0.5"
"0","8","1","0.5"
"0","8","2","0.5"
"0","8","3","0.5"
"0","8","4","0.5"
"0","8","5","0.5"
"0","8","6","0.5"
"0","8","7","0.5"
"1","1","2","5.773898802702864E-14"
"1","1","3","9.369638519424038E-15"
"1","1","4","0.28257297760740885"
"1","1","5","0.027956180064175416"
"1","1","6","9.369638519424038E-15"
"1","1","7","9.369638519424038E-15"
"1","1","8","5.0116849541321296E-5"
"1","2","1","1.906837490537611E-6"
"1","2","3","0.12157675438521558"
"1","2","4","9.369638519424038E-15"
"1","2","5","9.369638519424038E-15"
"1","2","6","0.0037571021261457362"
"1","2","7","0.2824469634148196"
"1","2","8","9.369638519424038E-15"
"1","3","1","9.369638519424038E-15"
"1","3","2","9.369638519424038E-15"
"1","3","4","0.0014559316837750081"
"1","3","5","9.369638519424038E-15"
"1","3","6","4.5142590216730603E-13"
"1","3","7","4.362361365007611E-7"
"1","3","8","1.2771746210159094E-12"
"1","4","1","0.22896553225158794"
"1","4","2","9.369638519424038E-15"
"1","4","3","9.369638519424038E-15"
"1","4","5","9.369638519424038E-15"
"1","4","6","9.369638519424038E-15"
"1","4","7","0.0027391360942407776"
"1","4","8","4.7506876909703304E-8"
"1","5","1","0.0037571021261457362"
"1","5","2","9.369638519424038E-15"
"1","5","3","9.369638519424038E-15"
"1","5","4","2.6600349104383565E-12"
"1","5","6","5.143246366594962E-10"
"1","5","7","9.369638519424038E-15"
"1","5","8","1.290462405438213"
"1","6","1","9.369638519424038E-15"
"1","6","2","2.7755607107151323E-9"
"1","6","3","9.369638519424038E-15"
"1","6","4","9.369638519424038E-15"
"1","6","5","1.6350512696460196E-13"
"1","6","7","1.8492018331747647E-8"
"1","6","8","9.369638519424038E-15"
"1","7","1","9.369638519424038E-15"
