"tick","track_count"
"2","21"
"3","22"
"4","22"
"5","23"
"6","23"
"7","23"
"8","23"
"9","23"
"10","22"
"11","23"
"12","23"
"13","24"
"14","24"
"15","24"
"16","23"
"17","22"
"18","23"
"19","23"
"20","23"
"21","23"
"22","24"
"23","24"
"24","24"
"25","21"
"26","21"
"27","22"
"28","21"
"29","20"
"30","20"
"31","21"
"32","22"
"33","21"
"34","21"
"35","21"
"36","21"
"37","21"
"38","21"
"39","19"
"40","19"
"41","23"
"42","23"
"43","21"
"44","20"
"45","22"
"46","22"
"47","22"
"48","21"
"49","21"
"50","22"
"51","22"
"52","23"
"53","23"
"54","22"
"55","21"
"56","21"
"57","21"
"58","21"
"59","21"
"60","21"
"61","21"
"62","21"
"63","23"
"64","23"
"65","23"
"66","24"
"67","22"
"68","23"
"69","23"
"70","22"
"71","23"
"72","23"
"73","23"
"74","23"
"75","22"
"76","22"
"77","22"
"78","23"
"79","23"
"80","22"
"81","22"
"82","22"
"83","23"
"84","23"
"85","22"
"86","23"
"87","22"
"88","23"
"89","23"
"90","23"
"91","25"
"92","23"
"93","23"
"94","24"
"95","24"
"96","23"
"97","23"
"98","23"
"99","24"
"100","24"
"101","24"
"102","24"
"103","23"
"104","21"
"105","21"
"106","20"
"107","21"
"108","21"
"109","21"
"110","20"
"111","20"
"112","21"
"113","21"
"114","21"
"115","21"
"116","21"
"117","21"
"118","23"
"119","23"
"120","22"
"121","22"
"122","20"
"123","20"
"124","21"
"125","21"
"126","23"
"127","23"
"128","23"
"129","23"
"130","22"
"131","22"
"132","24"
"133","21"
"134","21"
"135","23"
"136","22"
"137","22"
"138","21"
"139","22"
"140","22"
"141","21"
"142","21"
"143","21"
"144","20"
"145","20"
"146","20"
"147","20"
"148","18"
"149","18"
"150","19"
"151","19"
"152","19"
"153","17"
"154","17"
"155","18"
"156","21"
"157","21"
"158","21"
"159","21"
"160","21"
"161","21"
"162","21"
"163","22"
"164","22"
"165","22"
"166","22"
"167","22"
"168","22"
"169","19"
"170","19"
"171","21"
"172","22"
"173","22"
"174","23"
"175","23"
"176","23"
"177","20"
"178","22"
"179","22"
"180","23"
"181","23"
"182","23"
"183","25"
"184","25"
"185","25"
"186","24"
"187","24"
"188","24"
"189","24"
"190","24"
"191","24"
"192","24"
"193","24"
"194","23"
"195","23"
"196","22"
"197","22"
"198","22"
"199","21"
"200","20"
"201","20"
"202","21"
"203","22"
"204","22"
"205","22"
"206","20"
"207","20"
"208","20"
"209","21"
"210","19"
"211","21"
"212","20"
"213","20"
"214","19"
"215","18"
"216","18"
"217","20"
"218","20"
"219","21"
"220","21"
"221","21"
"222","21"
"223","21"
"224","21"
"225","23"
"226","23"
"227","21"
"228","22"
"229","21"
"230","21"
"231","21"
"232","22"
"233","22"
"234","23"
"235","23"
"236","22"
"237","23"
"238","22"
"239","22"
"240","22"
"241","23"
"242","25"
"243","25"
"244","24"
"245","23"
"246","23"
"247","23"
"248","24"
"249","24"
"250","24"
"251","25"
"252","23"
"253","23"
"254","24"
"255","24"
"256","25"
"257","25"
"258","25"
"259","24"
"260","24"
"261","24"
"262","23"
"263","23"
"264","23"
"265","23"
"266","24"
"267","25"
"268","25"
"269","25"
"270","27"
"271","27"
"272","26"
"273","25"
"274","24"
"275","24"
"276","24"
"277","22"
"278","21"
"279","21"
"280","21"
"281","22"
"282","22"
"283","22"
"284","22"
"285","22"
"286","22"
"287","22"
"288","22"
"289","23"
"290","21"
"291","21"
"292","22"
"293","21"
"294","20"
"295","21"
"296","23"
"297","22"
"298","22"
"299","22"
"300","22"
"301","22"
"302","19"
"303","19"
"304","22"
"305","21"
"306","20"
"307","20"
"308","23"
"309","23"
"310","23"
"311","21"
"312","21"
"313","21"
"314","21"
"315","22"
"316","22"
"317","22"
"318","22"
"319","20"
"320","22"
"321","22"
"322","21"
"323","21"
"324","21"
"325","22"
"326","22"
"327","22"
"328","21"
"329","22"
"330","22"
"331","21"
"332","20"
"333","20"
"334","20"
"335","20"
"336","20"
"337","20"
"338","20"
"339","20"
"340","20"
"341","20"
"342","20"
"343","20"
"344","20"
"345","20"
"346","20"
"347","20"
"348","21"
"349","21"
"350","22"
"351","22"
"352","21"
"353","20"
"354","20"
"355","24"
"356","24"
"357","24"
"358","22"
"359","22"
"360","21"
"361","23"
"362","23"
"363","23"
"364","24"
"365","23"
"366","23"
"367","24"
"368","23"
"369","23"
"370","22"
"371","22"
"372","19"
"373","19"
"374","20"
"375","23"
"376","23"
"377","23"
"378","23"
"379","22"
"380","22"
"381","22"
"382","26"
"383","26"
"384","24"
"385","24"
"386","24"
"387","24"
"388","25"
"389","25"
"390","25"
"391","23"
"392","23"
"393","23"
"394","22"
"395","22"
"396","22"
"397","22"
"398","22"
"399","21"
"400","23"
"401","22"
"402","22"
"403","22"
"404","21"
"405","21"
"406","23"
"407","23"
"408","23"
"409","23"
"410","22"
"411","22"
"412","23"
"413","23"
"414","22"
"415","22"
"416","22"
"417","23"
