Episode,Mean Return
0,-4.482250000000001
1,-4.278055555555555
2,-4.152027777777778
3,-4.461361111111111
4,-3.7873055555555553
5,-3.1826666666666665
6,-4.294055555555556
7,-4.268611111111112
8,-4.22311111111111
9,-3.913833333333333
10,-4.49125
11,-3.961166666666667
12,-4.442
13,-3.923111111111112
14,-4.470555555555556
15,-4.314805555555558
16,-3.801833333333333
17,-4.298055555555556
18,-3.677305555555556
19,-3.8743611111111114
20,-4.100055555555556
21,-4.332250000000001
22,-4.01313888888889
23,-3.967694444444444
24,-3.951111111111111
25,-4.307527777777778
26,-4.436805555555556
27,-4.436416666666666
28,-4.095305555555556
29,-4.047972222222222
30,-3.564388888888889
31,-3.830666666666666
32,-3.392583333333334
33,-3.8169444444444447
34,-4.473833333333332
35,-4.001277777777779
36,-3.090388888888889
37,-4.160166666666668
38,-4.085861111111112
39,-4.277666666666668
40,-4.270361111111112
41,-3.852972222222222
42,-3.243388888888889
43,-4.306027777777778
44,-4.524416666666667
45,-3.472555555555555
46,-3.4160555555555554
47,-3.987305555555556
48,-4.295833333333333
49,-4.1777500000000005
50,-3.007111111111111
51,-3.918250000000001
52,-4.150916666666667
53,-3.5622777777777777
54,-4.2315000000000005
55,-4.162666666666667
56,-3.778805555555555
57,-4.003444444444445
58,-4.444000000000002
59,-3.94925
60,-4.278583333333335
61,-3.981111111111112
62,-3.850805555555557
63,-4.33875
64,-3.777944444444445
65,-4.295833333333334
66,-3.916027777777778
67,-2.9704166666666665
68,-4.51625
69,-4.289166666666667
70,-3.796694444444445
71,-4.487111111111111
72,-4.295083333333333
73,-3.945222222222223
74,-4.219194444444444
75,-3.085944444444445
76,-3.465027777777777
77,-3.581500000000001
78,-3.596250000000001
79,-3.510194444444444
80,-3.208111111111112
81,-3.2280833333333336
82,-3.983388888888889
83,-4.115361111111111
84,-3.949666666666668
85,-4.308611111111111
86,-3.9881388888888902
87,-4.440666666666666
88,-4.48963888888889
89,-4.0047500000000005
90,-3.820444444444444
91,-3.492611111111111
92,-3.9746666666666655
93,-4.126972222222221
94,-2.7327222222222223
95,-4.064527777777777
96,-4.005472222222223
97,-4.480555555555555
98,-3.5804444444444443
99,-4.011805555555555
100,-4.141944444444444
101,-4.306055555555557
102,-3.407833333333334
103,-3.884833333333333
104,-3.386416666666668
105,-3.5616666666666674
106,-3.9770000000000008
107,-4.314527777777777
108,-2.877805555555556
109,-4.086638888888891
110,-4.22775
111,-3.85125
112,-3.4361666666666664
113,-3.5056111111111115
114,-3.603722222222224
115,-3.498444444444445
116,-2.894416666666668
117,-4.278777777777777
118,-4.123777777777776
119,-4.332416666666667
120,-3.5582500000000006
121,-4.347972222222222
122,-4.161833333333333
123,-3.3290277777777777
124,-3.716638888888889
125,-3.791194444444444
126,-3.64575
127,-4.282472222222222
128,-3.959444444444444
129,-3.230277777777778
130,-2.770666666666667
131,-3.483
132,-3.9667222222222223
133,-3.32025
134,-3.2616666666666667
135,-2.7290555555555547
136,-4.0455000000000005
137,-3.797305555555556
138,-3.7741666666666656
139,-3.839805555555556
140,-4.3172500000000005
141,-3.8445
142,-3.991611111111111
143,-4.0373888888888905
144,-4.150083333333334
145,-4.125333333333334
146,-3.585638888888888
147,-3.827277777777777
148,-3.969944444444444
149,-3.919111111111111
150,-2.783916666666667
151,-4.054722222222224
152,-3.288111111111112
153,-2.0946666666666665
154,-4.502055555555557
155,-3.7805
156,-4.337416666666669
157,-3.805111111111112
158,-3.6682222222222234
159,-4.141222222222223
160,-3.0592777777777784
161,-3.537583333333333
162,-4.133250000000001
163,-4.1796388888888885
164,-3.719305555555556
165,-3.8088055555555553
166,-4.483222222222223
167,-4.1592777777777785
168,-3.343444444444444
169,-3.612527777777778
170,-3.7625
171,-3.758777777777778
172,-3.792583333333333
173,-3.331972222222223
174,-4.0037777777777785
175,-3.740277777777777
176,-3.716888888888889
177,-2.700555555555556
178,-3.391944444444445
179,-3.99325
180,-3.441166666666668
181,-3.996805555555556
182,-3.43675
183,-3.456972222222223
184,-3.253194444444444
185,-3.1601666666666675
186,-3.7982777777777774
187,-3.659861111111113
188,-3.150027777777778
189,-4.199916666666668
190,-3.8730000000000007
191,-3.202388888888889
192,-3.7428333333333335
193,-3.4290277777777782
194,-3.706277777777778
195,-3.334555555555555
196,-3.7276388888888894
197,-3.921527777777778
198,-3.7178333333333327
